data,ano,mes,termo_pesquisa,google_trends_score,pais,fase_regulatoria,trends_normalizado
2016-12-01,2016,12,apostas_esportivas_agregado,1.49,BR,Pre-Legalizacao,0.0149
2017-01-01,2017,1,apostas_esportivas_agregado,2.54,BR,Pre-Legalizacao,0.0254
2017-02-01,2017,2,apostas_esportivas_agregado,3.17,BR,Pre-Legalizacao,0.0317
2017-03-01,2017,3,apostas_esportivas_agregado,2.3,BR,Pre-Legalizacao,0.023
2017-04-01,2017,4,apostas_esportivas_agregado,3.63,BR,Pre-Legalizacao,0.0363
2017-05-01,2017,5,apostas_esportivas_agregado,3.09,BR,Pre-Legalizacao,0.0309
2017-06-01,2017,6,apostas_esportivas_agregado,3.44,BR,Pre-Legalizacao,0.0344
2017-07-01,2017,7,apostas_esportivas_agregado,3.12,BR,Pre-Legalizacao,0.0312
2017-08-01,2017,8,apostas_esportivas_agregado,5.19,BR,Pre-Legalizacao,0.0519
2017-09-01,2017,9,apostas_esportivas_agregado,3.77,BR,Pre-Legalizacao,0.0377
2017-10-01,2017,10,apostas_esportivas_agregado,3.0,BR,Pre-Legalizacao,0.03
2017-11-01,2017,11,apostas_esportivas_agregado,4.58,BR,Pre-Legalizacao,0.0458
2017-12-01,2017,12,apostas_esportivas_agregado,2.31,BR,Pre-Legalizacao,0.0231
2018-01-01,2018,1,apostas_esportivas_agregado,5.95,BR,Legalizacao_Expansao,0.0595
2018-02-01,2018,2,apostas_esportivas_agregado,4.42,BR,Legalizacao_Expansao,0.0442
2018-03-01,2018,3,apostas_esportivas_agregado,5.19,BR,Legalizacao_Expansao,0.0519
2018-04-01,2018,4,apostas_esportivas_agregado,6.62,BR,Legalizacao_Expansao,0.0662
2018-05-01,2018,5,apostas_esportivas_agregado,7.53,BR,Legalizacao_Expansao,0.0753
2018-06-01,2018,6,apostas_esportivas_agregado,9.78,BR,Legalizacao_Expansao,0.0978
2018-07-01,2018,7,apostas_esportivas_agregado,9.36,BR,Legalizacao_Expansao,0.0936
2018-08-01,2018,8,apostas_esportivas_agregado,6.97,BR,Legalizacao_Expansao,0.0697
2018-09-01,2018,9,apostas_esportivas_agregado,6.16,BR,Legalizacao_Expansao,0.0616
2018-10-01,2018,10,apostas_esportivas_agregado,6.9,BR,Legalizacao_Expansao,0.069
2018-11-01,2018,11,apostas_esportivas_agregado,7.25,BR,Legalizacao_Expansao,0.0725
2018-12-01,2018,12,apostas_esportivas_agregado,7.24,BR,Legalizacao_Expansao,0.0724
2019-01-01,2019,1,apostas_esportivas_agregado,12.34,BR,Legalizacao_Expansao,0.1234
2019-02-01,2019,2,apostas_esportivas_agregado,11.09,BR,Legalizacao_Expansao,0.1109
2019-03-01,2019,3,apostas_esportivas_agregado,13.32,BR,Legalizacao_Expansao,0.1332
2019-04-01,2019,4,apostas_esportivas_agregado,13.18,BR,Legalizacao_Expansao,0.1318
2019-05-01,2019,5,apostas_esportivas_agregado,13.94,BR,Legalizacao_Expansao,0.1394
2019-06-01,2019,6,apostas_esportivas_agregado,15.4,BR,Legalizacao_Expansao,0.154
2019-07-01,2019,7,apostas_esportivas_agregado,15.45,BR,Legalizacao_Expansao,0.1545
2019-08-01,2019,8,apostas_esportivas_agregado,15.8,BR,Legalizacao_Expansao,0.158
2019-09-01,2019,9,apostas_esportivas_agregado,14.66,BR,Legalizacao_Expansao,0.1466
2019-10-01,2019,10,apostas_esportivas_agregado,15.37,BR,Legalizacao_Expansao,0.1537
2019-11-01,2019,11,apostas_esportivas_agregado,16.17,BR,Legalizacao_Expansao,0.1617
2019-12-01,2019,12,apostas_esportivas_agregado,14.13,BR,Legalizacao_Expansao,0.1413
2020-01-01,2020,1,apostas_esportivas_agregado,18.74,BR,Legalizacao_Expansao,0.1874
2020-02-01,2020,2,apostas_esportivas_agregado,19.65,BR,Legalizacao_Expansao,0.1965
2020-03-01,2020,3,apostas_esportivas_agregado,19.81,BR,Legalizacao_Expansao,0.1981
2020-04-01,2020,4,apostas_esportivas_agregado,20.42,BR,Legalizacao_Expansao,0.2042
2020-05-01,2020,5,apostas_esportivas_agregado,23.6,BR,Legalizacao_Expansao,0.236
2020-06-01,2020,6,apostas_esportivas_agregado,24.71,BR,Legalizacao_Expansao,0.2471
2020-07-01,2020,7,apostas_esportivas_agregado,23.12,BR,Legalizacao_Expansao,0.2312
2020-08-01,2020,8,apostas_esportivas_agregado,24.65,BR,Legalizacao_Expansao,0.2465
2020-09-01,2020,9,apostas_esportivas_agregado,24.59,BR,Legalizacao_Expansao,0.2459
2020-10-01,2020,10,apostas_esportivas_agregado,24.23,BR,Legalizacao_Expansao,0.2423
2020-11-01,2020,11,apostas_esportivas_agregado,25.49,BR,Legalizacao_Expansao,0.2549
2020-12-01,2020,12,apostas_esportivas_agregado,22.38,BR,Legalizacao_Expansao,0.2238
2021-01-01,2021,1,apostas_esportivas_agregado,35.67,BR,Legalizacao_Expansao,0.3567
2021-02-01,2021,2,apostas_esportivas_agregado,38.21,BR,Legalizacao_Expansao,0.3821
2021-03-01,2021,3,apostas_esportivas_agregado,36.54,BR,Legalizacao_Expansao,0.3654
2021-04-01,2021,4,apostas_esportivas_agregado,40.56,BR,Legalizacao_Expansao,0.4056
2021-05-01,2021,5,apostas_esportivas_agregado,42.91,BR,Legalizacao_Expansao,0.4291
2021-06-01,2021,6,apostas_esportivas_agregado,43.86,BR,Legalizacao_Expansao,0.4386
2021-07-01,2021,7,apostas_esportivas_agregado,43.33,BR,Legalizacao_Expansao,0.4333
2021-08-01,2021,8,apostas_esportivas_agregado,42.93,BR,Legalizacao_Expansao,0.4293
2021-09-01,2021,9,apostas_esportivas_agregado,45.18,BR,Legalizacao_Expansao,0.4518
2021-10-01,2021,10,apostas_esportivas_agregado,46.49,BR,Legalizacao_Expansao,0.4649
2021-11-01,2021,11,apostas_esportivas_agregado,48.22,BR,Legalizacao_Expansao,0.4822
2021-12-01,2021,12,apostas_esportivas_agregado,39.07,BR,Legalizacao_Expansao,0.3907
2022-01-01,2022,1,apostas_esportivas_agregado,57.58,BR,Legalizacao_Expansao,0.5758
2022-02-01,2022,2,apostas_esportivas_agregado,59.88,BR,Legalizacao_Expansao,0.5988
2022-03-01,2022,3,apostas_esportivas_agregado,63.75,BR,Legalizacao_Expansao,0.6375
2022-04-01,2022,4,apostas_esportivas_agregado,65.34,BR,Legalizacao_Expansao,0.6534
2022-05-01,2022,5,apostas_esportivas_agregado,69.45,BR,Legalizacao_Expansao,0.6945
2022-06-01,2022,6,apostas_esportivas_agregado,72.34,BR,Legalizacao_Expansao,0.7234
2022-07-01,2022,7,apostas_esportivas_agregado,70.63,BR,Legalizacao_Expansao,0.7063
2022-08-01,2022,8,apostas_esportivas_agregado,73.38,BR,Legalizacao_Expansao,0.7338
2022-09-01,2022,9,apostas_esportivas_agregado,73.42,BR,Legalizacao_Expansao,0.7342
2022-10-01,2022,10,apostas_esportivas_agregado,75.09,BR,Legalizacao_Expansao,0.7509
2022-11-01,2022,11,apostas_esportivas_agregado,100.0,BR,Legalizacao_Expansao,1.0
2022-12-01,2022,12,apostas_esportivas_agregado,88.98,BR,Legalizacao_Expansao,0.8898
2023-01-01,2023,1,apostas_esportivas_agregado,75.04,BR,Regulamentacao,0.7504
2023-02-01,2023,2,apostas_esportivas_agregado,77.65,BR,Regulamentacao,0.7765
2023-03-01,2023,3,apostas_esportivas_agregado,80.96,BR,Regulamentacao,0.8096
2023-04-01,2023,4,apostas_esportivas_agregado,83.41,BR,Regulamentacao,0.8341
2023-05-01,2023,5,apostas_esportivas_agregado,88.63,BR,Regulamentacao,0.8863
2023-06-01,2023,6,apostas_esportivas_agregado,92.06,BR,Regulamentacao,0.9206
2023-07-01,2023,7,apostas_esportivas_agregado,90.37,BR,Regulamentacao,0.9037
2023-08-01,2023,8,apostas_esportivas_agregado,92.64,BR,Regulamentacao,0.9264
2023-09-01,2023,9,apostas_esportivas_agregado,94.91,BR,Regulamentacao,0.9491
2023-10-01,2023,10,apostas_esportivas_agregado,97.12,BR,Regulamentacao,0.9712
2023-11-01,2023,11,apostas_esportivas_agregado,100.0,BR,Regulamentacao,1.0
2023-12-01,2023,12,apostas_esportivas_agregado,82.86,BR,Regulamentacao,0.8286
2024-01-01,2024,1,apostas_esportivas_agregado,82.23,BR,Regulamentacao,0.8223
2024-02-01,2024,2,apostas_esportivas_agregado,84.86,BR,Regulamentacao,0.8486
2024-03-01,2024,3,apostas_esportivas_agregado,87.24,BR,Regulamentacao,0.8724
2024-04-01,2024,4,apostas_esportivas_agregado,91.65,BR,Regulamentacao,0.9165
2024-05-01,2024,5,apostas_esportivas_agregado,98.48,BR,Regulamentacao,0.9848
2024-06-01,2024,6,apostas_esportivas_agregado,100.0,BR,Regulamentacao,1.0
2024-07-01,2024,7,apostas_esportivas_agregado,99.24,BR,Regulamentacao,0.9924
2024-08-01,2024,8,apostas_esportivas_agregado,100.0,BR,Regulamentacao,1.0
2024-09-01,2024,9,apostas_esportivas_agregado,100.0,BR,Regulamentacao,1.0
2024-10-01,2024,10,apostas_esportivas_agregado,100.0,BR,Regulamentacao,1.0
2024-11-01,2024,11,apostas_esportivas_agregado,100.0,BR,Regulamentacao,1.0
2024-12-01,2024,12,apostas_esportivas_agregado,91.31,BR,Regulamentacao,0.9131
2025-01-01,2025,1,apostas_esportivas_agregado,78.83,BR,Mercado_Regulado,0.7883
2025-02-01,2025,2,apostas_esportivas_agregado,80.23,BR,Mercado_Regulado,0.8023
2025-03-01,2025,3,apostas_esportivas_agregado,85.76,BR,Mercado_Regulado,0.8576
2025-04-01,2025,4,apostas_esportivas_agregado,86.28,BR,Mercado_Regulado,0.8628
2025-05-01,2025,5,apostas_esportivas_agregado,94.31,BR,Mercado_Regulado,0.9431
2025-06-01,2025,6,apostas_esportivas_agregado,98.35,BR,Mercado_Regulado,0.9835
2025-07-01,2025,7,apostas_esportivas_agregado,93.97,BR,Mercado_Regulado,0.9397
2025-08-01,2025,8,apostas_esportivas_agregado,97.07,BR,Mercado_Regulado,0.9707
2025-09-01,2025,9,apostas_esportivas_agregado,99.44,BR,Mercado_Regulado,0.9944
2025-10-01,2025,10,apostas_esportivas_agregado,100.0,BR,Mercado_Regulado,1.0
2025-11-01,2025,11,apostas_esportivas_agregado,100.0,BR,Mercado_Regulado,1.0
2025-12-01,2025,12,apostas_esportivas_agregado,86.53,BR,Mercado_Regulado,0.8653
