partida_id,temporada,serie,rodada,clube,clube_slug,cartao,atleta,atleta_slug,num_camisa,minuto_nominal,acrescimo,minuto_continuo,periodo,motivo_completo,categoria_infracao,tipo_cartao_detalhe
61,2022,B,0,Novorizontino,novorizontino,Amarelo,Rodolfo Filemon de Oliveira da Silva,rodolfo_filemon_de_oliveira_da_silva,3,90,2,92,2T,"A1.10.  Fazer carga em um adversário de maneira temerária na disputa da bola - Por fazer uma carga em seu adversário de maneira temerária, na disputa da bola.",falta_temeraria,
61,2022,B,0,Novorizontino,novorizontino,Amarelo,Leonardo Lima dos Santos,leonardo_lima_dos_santos,15,90,6,96,2T,A1.3.  Cometer uma falta tática para impedir um ataque promissor - Por segurar seu adversário impedindo um ataque promissor.,outro,
146,2022,B,0,Operário,operario,Amarelo,Tomas Almino Bastos da Silva,tomas_almino_bastos_da_silva,8,17,0,17,1T,A1.11.  Golpear um adversário de maneira temerária na disputa da bola - Golpear seu adversário de maneira temerária na disputa de bola.,falta_temeraria,
146,2022,B,0,Chapecoense,chapecoense,Amarelo,Chrystian Amaral Barletta de Almeida,chrystian_amaral_barletta_de_almeida,7,20,0,20,1T,A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Dar uma entrada de maneira temerária.,falta_temeraria,
146,2022,B,0,Chapecoense,chapecoense,Amarelo,Tiago Real do Prado,tiago_real_do_prado,10,10,0,55,2T,A2.  Desaprovar com palavras ou gestos as decisões da arbitragem  - Por reclamar das decisões da arbitragem.,reclamacao,
146,2022,B,0,Chapecoense,chapecoense,Amarelo,Marcelo de Freitas Costa,marcelo_de_freitas_costa,8,10,0,55,2T,A2.  Desaprovar com palavras ou gestos as decisões da arbitragem  - Por reclamar das decisões da arbitragem.,reclamacao,
146,2022,B,0,Chapecoense,chapecoense,Vermelho,Pedro Henrique Perotti,pedro_henrique_perotti,9,10,0,55,2T,"V2.  For culpado de conduta violenta - Após revisão na ara, expulsei com o cartão vermelho direto, por conduta violenta o sr. pedro henrique perotti, n°9 da equipe da chapecoense, ao atingir o rosto de seu adversário com o cotovelo direito com uso de força excessiva, sr. vanderlei farias da silva, n°1 da equipe operário, fora da disputa da bola. informo ainda que o jogador atingido necessitou de atendimento médico e continuou na partida. o jogador expulso saiu de campo normalmente. Confederação Brasileira de Futebol Publicação da Súmula: 27/06/2022 23:13 Emissão desta via: 27/06/2022 23:13 Página 2/3",falta_temeraria,Cartão Vermelho Direto
146,2022,B,0,Operário,operario,Amarelo,Giovanni Fernando Cofreste Pavani,giovanni_fernando_cofreste_pavani,10,24,0,69,2T,A1.2.  Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola  - Por calçar o seu adversário de maneira temerária.,falta_temeraria,
146,2022,B,0,Chapecoense,chapecoense,Amarelo,Wesley Frazan Bernardo,wesley_frazan_bernardo,27,42,0,87,2T,A1.14.  Atuar de maneira a mostrar desrespeito ao jogo - Segurar seu adversário acintosamente mostrando desrespeito ao jogo.,outro,
244,2022,B,0,Operário,operario,Amarelo,Felipe Garcia Goncalves,felipe_garcia_goncalves,19,4,0,49,2T,A1.2.  Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola  - Calçar atleta adversário na disputa da bola de maneira temerária.,falta_temeraria,
244,2022,B,0,Criciúma,criciuma,Amarelo,Arilson Carlos Alves Baptista,arilson_carlos_alves_baptista,8,10,0,55,2T,A3.  Retardar o reinício do jogo  - Retardar reinicio de jogo.,cera_retardar,
244,2022,B,0,Criciúma,criciuma,Amarelo,Marcos Vinicius Cerato,marcos_vinicius_cerato,5,28,0,73,2T,A2.1.  Reclamar / protestar (verbalmente ou por gestos\ de forma acintosa contra a decisão da arbitragem.,reclamacao,
244,2022,B,0,Operário,operario,Amarelo,Gustavo Alcino,gustavo_alcino,4,35,0,80,2T,"A1.3.  Cometer uma falta tática para impedir um ataque promissor - Dar um tranco imprudente em seu adversário, impedindo um ataque promissor.",falta_temeraria,
1,2022,B,1,Ponte Preta,ponte_preta,Amarelo,Wesley Lopes Beltrame,wesley_lopes_beltrame,8,36,0,36,1T,"A1.24.  Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser\ a nuca de seu adversário de maneira temerária, na disputa de bola.",falta_temeraria,
1,2022,B,1,Ponte Preta,ponte_preta,Amarelo,Helio Cezar Pinto dos Anjos,helio_cezar_pinto_dos_anjos,TC,24,0,69,2T,A2.  Desaprovar com palavras ou gestos as decisões da arbitragem  - Por desaprovar com palavras ou gestos as decisões da arbitragem.,reclamacao,
1,2022,B,1,Grêmio,gremio,Amarelo,Gabriel Teixeira Aragao,gabriel_teixeira_aragao,17,29,0,74,2T,"A1.24.  Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser\ acintosa com o seu adversário com a bola fora de jogo.",outro,
1,2022,B,1,Ponte Preta,ponte_preta,Amarelo,Bernardo de Paulo Silva,bernardo_de_paulo_silva,13,29,0,74,2T,"A1.24.  Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser\ acintosa com o seu adversário com a bola fora de jogo.",outro,
1,2022,B,1,Grêmio,gremio,Amarelo,Diogo Barbosa Mendanha,diogo_barbosa_mendanha,6,37,0,82,2T,A1.2.  Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola  - Por calçar seu adversário de maneira temerária na disputa de bola.,falta_temeraria,
1,2022,B,1,Grêmio,gremio,Amarelo,Antonio Josenildo Rodrigues de Oliveira,antonio_josenildo_rodrigues_de_oliveira,26,42,0,87,2T,A1.2.  Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola  - Por calçar seu adversário de maneira temerária na disputa de bola.,falta_temeraria,
2,2022,B,1,Criciúma,criciuma,Amarelo,Rafael Bilu Mudesto,rafael_bilu_mudesto,7,20,0,65,2T,A1.2.  Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola  - Por dar um calço de maneira temerária no seu adversário da disputa da bola.,falta_temeraria,
2,2022,B,1,Criciúma,criciuma,Amarelo,Rodrigo Fagundes de Freitas,rodrigo_fagundes_de_freitas,3,24,0,69,2T,A1.2.  Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola  - Por dar um calço de maneira temerária no seu adversário da disputa da bola.,falta_temeraria,
2,2022,B,1,Criciúma,criciuma,Amarelo,Hygor Cleber Garcia Silva,hygor_cleber_garcia_silva,18,90,2,92,2T,A1.2.  Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola  - Por dar um calço de maneira temerária no seu adversário da disputa da bola.,falta_temeraria,
2,2022,B,1,Criciúma,criciuma,Amarelo,Arilson Carlos Alves Baptista,arilson_carlos_alves_baptista,8,90,4,94,2T,A3.  Retardar o reinício do jogo  - Por retardar o reinício do jogo.,cera_retardar,
3,2022,B,1,Sport,sport,Amarelo,Fabricio Rodrigues da Silva Ferreira,fabricio_rodrigues_da_silva_ferreira,98,23,0,23,1T,A2.1.  Reclamar / protestar (verbalmente ou por gestos\ reclamar de maneira acintosa contra a decisão da arbitragem.,reclamacao,
3,2022,B,1,Sampaio Corrêa,sampaio_correa,Amarelo,Gabriel Buscariol Poveda,gabriel_buscariol_poveda,9,45,1,46,1T,A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Por dar uma entrada temerária em seu adversário na disputa da bola.,falta_temeraria,
3,2022,B,1,Sport,sport,Amarelo,Ray Andres Vanegas Zuniga,ray_andres_vanegas_zuniga,11,44,0,89,2T,"A8.  Comemoração de um gol - Atitude antidesportiva, por tirar a camisa na comemoração de um gol.",conduta_antidesportiva,
3,2022,B,1,Sampaio Corrêa,sampaio_correa,Amarelo,Mateus da Silva Duarte,mateus_da_silva_duarte,2,44,0,89,2T,A2.1.  Reclamar / protestar (verbalmente ou por gestos\ reclamar de maneira acintosa contra a decisão da arbitragem.,reclamacao,
3,2022,B,1,Sampaio Corrêa,sampaio_correa,Amarelo,Wesley Dias Claudino,wesley_dias_claudino,15,44,0,89,2T,A2.1.  Reclamar / protestar (verbalmente ou por gestos\ reclamar de maneira acintosa contra a decisão da arbitragem.,reclamacao,
3,2022,B,1,Sampaio Corrêa,sampaio_correa,Amarelo,Anmerson da Silva Soares,anmerson_da_silva_soares,17,45,0,90,2T,A2.1.  Reclamar / protestar (verbalmente ou por gestos\ reclamar de maneira acintosa contra a decisão da arbitragem.,reclamacao,
4,2022,B,1,Guarani,guarani,Amarelo,Madison Araujo Costa,madison_araujo_costa,98,19,0,19,1T,"A1.14.  Atuar de maneira a mostrar desrespeito ao jogo - Por atuar de maneira em desrespeito ao jogo, segurando seu adversário de forma acintosa e jogando - o ao solo.",outro,
4,2022,B,1,Guarani,guarani,Amarelo,Giovanni Augusto Oliveira Cardoso,giovanni_augusto_oliveira_cardoso,10,27,0,27,1T,A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola -  por dar uma entrada de maneira temerária contra seu adversário na disputa de bola.,falta_temeraria,
4,2022,B,1,Brusque,brusque,Amarelo,Bruno Henrique Fortunato Aguiar,bruno_henrique_fortunato_aguiar,4,6,0,51,2T,"A1.3.  Cometer uma falta tática para impedir um ataque promissor - Por calçar seu adversário, impedindo um ataque promissor.",outro,
4,2022,B,1,Guarani,guarani,Amarelo,João Victor Carroll Santana,joao_victor_carroll_santana,28,9,0,54,2T,"A1.4.  Segurar um adversário por motivo tático para afastá-lo da bola - Por puxar seu adversário, impedindo um ataque promissor.",outro,
4,2022,B,1,Brusque,brusque,Amarelo,Everton Paulo Strieder,everton_paulo_strieder,3,14,0,59,2T,A4.  Infringir persistentemente as regras do jogo  - Por rodizio de faltas.,outro,
4,2022,B,1,Guarani,guarani,Amarelo,Ronaldo Luiz Alves,ronaldo_luiz_alves,22,15,0,60,2T,A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola -  por dar uma entrada de maneira temerária contra seu adversário na disputa de bola.,falta_temeraria,
4,2022,B,1,Guarani,guarani,Amarelo,Silvano de Morais Silva,silvano_de_morais_silva,TG,18,0,63,2T,A2.1.  Reclamar / protestar (verbalmente ou por gestos\ reclamar e gesticular contra as decisões da arbitragem.,reclamacao,
4,2022,B,1,Brusque,brusque,Amarelo,Christofoly Acioly da Silva,christofoly_acioly_da_silva,2,19,0,64,2T,A1.11.  Golpear um adversário de maneira temerária na disputa da bola - Por golpear seu adversário de maneira temerária na disputa de bola. TG - Treinador de Goleiros,cera_retardar,
4,2022,B,1,Guarani,guarani,Amarelo,Matheus Pereira de Souza,matheus_pereira_de_souza,16,90,4,94,2T,"A1.3.  Cometer uma falta tática para impedir um ataque promissor - Por calçar seu adversário, impedindo um ataque promissor.",outro,
5,2022,B,1,Novorizontino,novorizontino,Amarelo,Felipe Albuquerque Felippi,felipe_albuquerque_felippi,2,28,0,28,1T,A1.3.  Cometer uma falta tática para impedir um ataque promissor - Por cometer uma falta tática impedindo um ataque promissor.,outro,
5,2022,B,1,Crb,crb,Amarelo,Welington Pereira Rodrigues,welington_pereira_rodrigues,3,38,0,38,1T,A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Por dar uma entrada em seu adversário de maneira temerária na disputa da bola.,falta_temeraria,
5,2022,B,1,Crb,crb,Amarelo,Wellington Carvalho dos Santos,wellington_carvalho_dos_santos,15,5,0,50,2T,A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Por dar uma entrada em seu adversário de maneira temerária na disputa da bola.,falta_temeraria,
5,2022,B,1,Novorizontino,novorizontino,Amarelo,Diego de Souza Quirino,diego_de_souza_quirino,9,25,0,70,2T,A3.  Retardar o reinício do jogo  - Por chutar a bola para longe com o jogo paralisado.,cera_retardar,
5,2022,B,1,Crb,crb,Amarelo,Vinicius Duarte,vinicius_duarte,18,28,0,73,2T,A1.1.  Dar ou tentar dar um pontapé (chute\ nas pernas de seu adversário de maneira temerária na disputa da bola.,falta_temeraria,
5,2022,B,1,Crb,crb,Amarelo,Emerson Ramon Bezerra Oliveira,emerson_ramon_bezerra_oliveira,21,31,0,76,2T,A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Por dar uma entrada em seu adversário de maneira temerária na disputa da bola.,falta_temeraria,
5,2022,B,1,Novorizontino,novorizontino,Amarelo,Douglas Baggio de Oliveira Costa,douglas_baggio_de_oliveira_costa,20,34,0,79,2T,A1.14.  Atuar de maneira a mostrar desrespeito ao jogo - Por segurar acintosamente seu adversário mostrando desrespeito ao jogo.,outro,
5,2022,B,1,Crb,crb,Amarelo,Iago Pereira Mendonça,iago_pereira_mendonca,4,36,0,81,2T,A1.3.  Cometer uma falta tática para impedir um ataque promissor - Por cometer uma falta tática impedindo um ataque promissor.,outro,
5,2022,B,1,Novorizontino,novorizontino,Amarelo,Jose Walber Mota de Amorim,jose_walber_mota_de_amorim,13,90,1,91,2T,A8.  Comemoração de um gol - Por chutar a bola para o alto na direção da arquibancada na comemoração de um gol.,outro,
6,2022,B,1,Náutico,nautico,Amarelo,Carlos Eduardo da Silva Santos,carlos_eduardo_da_silva_santos,3,37,0,37,1T,A1.3.  Cometer uma falta tática para impedir um ataque promissor - Por dar um calço em seu adversário impedindo um ataque promissor,falta_temeraria,
6,2022,B,1,Londrina,londrina,Amarelo,Marcio Rodrigues Velasco,marcio_rodrigues_velasco,18,2,0,47,2T,A1.14.  Atuar de maneira a mostrar desrespeito ao jogo - Por segurar de forma acintosa seu adversário pela camisa impedindo de prosseguir na jogada.,conduta_antidesportiva,
6,2022,B,1,Londrina,londrina,Amarelo,Jhonny Lucas Flora Barboza,jhonny_lucas_flora_barboza,8,14,0,59,2T,A1.14.  Atuar de maneira a mostrar desrespeito ao jogo - Por segurar de forma acintosa seu adversário pela camisa impedindo de prosseguir na jogada.,conduta_antidesportiva,
6,2022,B,1,Londrina,londrina,Amarelo,Gabriel dos Santos Francisco,gabriel_dos_santos_francisco,9,17,0,62,2T,"A2.1.  Reclamar / protestar (verbalmente ou por gestos\ protestar de forma acintosa contra as decisões da arbitragem, chutando a bola com o jogo paralisado.",reclamacao,
6,2022,B,1,Náutico,nautico,Amarelo,Carlos Eugenio Junior Tavares dos Santos,carlos_eugenio_junior_tavares_dos_santos,6,90,5,95,2T,A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Por dar uma entrada de maneira temerária em seu adversário na disputa de bola.,falta_temeraria,
7,2022,B,1,Vasco da Gama,vasco_da_gama,Amarelo,Jose Gabriel dos Santos Silva,jose_gabriel_dos_santos_silva,23,34,0,34,1T,"A1.24.  Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser\ contra o seu adversário com o jogo parado.",outro,
7,2022,B,1,Vila Nova,vila_nova,Amarelo,Alex da Silva,alex_da_silva,2,34,0,34,1T,"A1.24.  Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser\ contra o seu adversário com o jogo parado.",outro,
7,2022,B,1,Vila Nova,vila_nova,Amarelo,Matheus Cotulio Bossa,matheus_cotulio_bossa,7,41,0,41,1T,A1.2.  Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola  - Por calçar o seu adversário de maneira temerária na disputa de bola.,falta_temeraria,
7,2022,B,1,Vasco da Gama,vasco_da_gama,Amarelo,Yuri Lima Lara,yuri_lima_lara,5,3,0,48,2T,A1.3.  Cometer uma falta tática para impedir um ataque promissor - Por segurar o seu adversário impedindo um ataque promissor.,outro,
8,2022,B,1,Cruzeiro Saf,cruzeiro_saf,Amarelo,Rafael Lucas Cardoso dos Santos,rafael_lucas_cardoso_dos_santos,36,39,0,39,1T,A1.3.  Cometer uma falta tática para impedir um ataque promissor - Por calçar seu adversário impedindo um ataque promissor,outro,
8,2022,B,1,Bahia,bahia,Amarelo,Patrick de Lucca Chaves de Oliveira,patrick_de_lucca_chaves_de_oliveira,45,15,0,60,2T,A1.2.  Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola  - Por dar um calço no seu adversário de maneira temerária na disputa da bola.,falta_temeraria,
8,2022,B,1,Cruzeiro Saf,cruzeiro_saf,Amarelo,Eduardo Schroeder Brock,eduardo_schroeder_brock,14,17,0,62,2T,A1.3.  Cometer uma falta tática para impedir um ataque promissor - Por segurar seu adversário impedindo um ataque pormissor.,outro,
8,2022,B,1,Cruzeiro Saf,cruzeiro_saf,Amarelo,Paulo Cesar Pezzolano Suarez,paulo_cesar_pezzolano_suarez,TC,42,0,87,2T,A2.1.  Reclamar / protestar (verbalmente ou por gestos\ de forma acintosa com a arbitragem.,reclamacao,
8,2022,B,1,Cruzeiro Saf,cruzeiro_saf,Vermelho,Wagner Leonardo Calvelo de Souza,wagner_leonardo_calvelo_de_souza,3,45,0,90,2T,V2.8.  Outro motivo (detalhar no campo expulsões\ o expulso saiu de campo de jogo de forma tranquila. Confederação Brasileira de Futebol Publicação da Súmula: 09/04/2022 00:57 Emissão desta via: 09/04/2022 00:57 Página 2/3,outro,Cartão Vermelho Direto
9,2022,B,1,Tombense,tombense,Amarelo,Paulo de Souza Junior,paulo_de_souza_junior,7,6,0,51,2T,A1.11.  Golpear um adversário de maneira temerária na disputa da bola - Advertido por golpear seu adversário de forma temerária na disputa da bola.,falta_temeraria,
9,2022,B,1,Operário,operario,Amarelo,Thales Natanael Lira de Matos,thales_natanael_lira_de_matos,3,11,0,56,2T,A1.3.  Cometer uma falta tática para impedir um ataque promissor - Advertido por cortar um ataque promissor com o uso das mãos.,mao_intencional,
9,2022,B,1,Tombense,tombense,Amarelo,Manoel Ferreira Lima Neto,manoel_ferreira_lima_neto,6,13,0,58,2T,A1.1.  Dar ou tentar dar um pontapé (chute\ um pontapé na altura do rosto de seu adversário de forma temerária na disputa da bola.,falta_temeraria,
9,2022,B,1,Tombense,tombense,Amarelo,Jose Ricardo Araujo Fernandes,jose_ricardo_araujo_fernandes,8,15,0,60,2T,A1.3.  Cometer uma falta tática para impedir um ataque promissor - Advertido por cortar um ataque promissor calçando seu adversário na disputa da bola.,falta_temeraria,
9,2022,B,1,Tombense,tombense,Amarelo,Igor Henrique Martins Machado,igor_henrique_martins_machado,10,29,0,74,2T,A3.5.  Retardar a saída de campo de jogo durante um substituição - Advertido por retardar sua saída de campo na substituição.,cera_retardar,
10,2022,B,1,Ituano,ituano,Amarelo,Kaio Silva Mendes,kaio_silva_mendes,7,14,0,59,2T,"A1.14.  Atuar de maneira a mostrar desrespeito ao jogo - Por segurar seu adversário de forma persistente, mostrando desrespeito ao jogo.",outro,
10,2022,B,1,Chapecoense,chapecoense,Amarelo,Fernando Augusto Pereira Bueno Junior,fernando_augusto_pereira_bueno_junior,6,25,0,70,2T,"A1.24.  Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser\ adversário fora da disputa da bola.",falta_temeraria,
10,2022,B,1,Ituano,ituano,Amarelo,Bernardo Schappo,bernardo_schappo,4,25,0,70,2T,"A1.24.  Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser\ adversário fora da disputa da bola.",falta_temeraria,
10,2022,B,1,Ituano,ituano,Amarelo,Lucas Santos Siqueira,lucas_santos_siqueira,8,29,0,74,2T,"A1.11.  Golpear um adversário de maneira temerária na disputa da bola - Golpear o rosto de seu adversário com o braço, de forma temerária na disputa de bola.",falta_temeraria,
11,2022,B,2,Sport,sport,Amarelo,Ezequiel Jacinto de Biasi,ezequiel_jacinto_de_biasi,22,4,0,4,1T,A1.2.  Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola  - Por calçar seu adversário de maneira temerária.,falta_temeraria,
11,2022,B,2,Guarani,guarani,Amarelo,Giovanni Augusto Oliveira Cardoso,giovanni_augusto_oliveira_cardoso,10,31,0,31,1T,"A1.11.  Golpear um adversário de maneira temerária na disputa da bola - Por atingir com o braço, o rosto de seu adversário de maneira temerária.",falta_temeraria,
11,2022,B,2,Guarani,guarani,Amarelo,Nicolas Mores da Cruz,nicolas_mores_da_cruz,11,32,0,77,2T,A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Por dar uma entrada em seu adversário de maneira temerária.,falta_temeraria,
11,2022,B,2,Sport,sport,Amarelo,Ray Andres Vanegas Zuniga,ray_andres_vanegas_zuniga,11,45,0,90,2T,"A1.24.  Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser\ antidesportiva, por chutar seu adversário com o jogo paralisado",conduta_antidesportiva,
11,2022,B,2,Guarani,guarani,Amarelo,Matheus Pereira de Souza,matheus_pereira_de_souza,16,45,0,90,2T,"A1.14.  Atuar de maneira a mostrar desrespeito ao jogo - Por segurar seu adversário de maneira acintosa, mostrando desrespeito ao jogo.",outro,
12,2022,B,2,Crb,crb,Amarelo,Marthã Fernando Goncalves Pimenta,martha_fernando_goncalves_pimenta,5,18,0,18,1T,"A1.4.  Segurar um adversário por motivo tático para afastá-lo da bola - Por segurar seu adversário por um motivo tático, impedindo um ataque promissor.",outro,
12,2022,B,2,Crb,crb,Amarelo,Raul Prata,raul_prata,2,32,0,32,1T,A1.3.  Cometer uma falta tática para impedir um ataque promissor - Por calçar o adversário impedindo um ataque promissor.,outro,
12,2022,B,2,Vasco da Gama,vasco_da_gama,Amarelo,Gabriel Fortes Chaves,gabriel_fortes_chaves,11,35,0,35,1T,A1.3.  Cometer uma falta tática para impedir um ataque promissor - Por calçar de forma imprudente o seu adversário impedindo um ataque promissor.,outro,
12,2022,B,2,Vasco da Gama,vasco_da_gama,Amarelo,Jose Gabriel dos Santos Silva,jose_gabriel_dos_santos_silva,23,42,0,87,2T,A1.11.  Golpear um adversário de maneira temerária na disputa da bola - Por golpear seu adversário de forma temerária na disputa da bola.,falta_temeraria,
13,2022,B,2,Bahia,bahia,Amarelo,Douglas do Espirito Santo Torres,douglas_do_espirito_santo_torres,2,1,0,1,1T,A1.14.  Atuar de maneira a mostrar desrespeito ao jogo - Por atuar de maneira a mostrar desrespeito ao jogo ao segurar seu adversário acintosamente.,outro,
13,2022,B,2,Bahia,bahia,Vermelho,Douglas do Espirito Santo Torres,douglas_do_espirito_santo_torres,2,12,0,12,1T,"V2.8.  Outro motivo (detalhar no campo expulsões\ sr. douglas do espírito santo torres, nº 02 da equipe bahia, por retirar a camisa ao comemorar um gol. informo ainda que o atleta expulso já havia sido advertido anteriormente por atuar de maneira a mostrar desrespeito ao jogo e após expulsão deixou o campo de jogo normalmente. Confederação Brasileira de Futebol Publicação da Súmula: 16/04/2022 00:52 Emissão desta via: 16/04/2022 00:52 Página 2/3",conduta_antidesportiva,2º Cartão Amarelo
13,2022,B,2,Bahia,bahia,Amarelo,Daniel Sampaio Simoes,daniel_sampaio_simoes,10,15,0,15,1T,A3.5.  Retardar a saída de campo de jogo durante um substituição - Por retardar a saída do campo de jogo durante uma substituição.,cera_retardar,
13,2022,B,2,Náutico,nautico,Amarelo,Diogo Hereda da Silva,diogo_hereda_da_silva,2,9,0,54,2T,A1.3.  Cometer uma falta tática para impedir um ataque promissor - Por segurar seu adversário impedindo um ataque promissor.,outro,
13,2022,B,2,Náutico,nautico,Amarelo,Pedro Vitor Ferreira da Silva,pedro_vitor_ferreira_da_silva,20,14,0,59,2T,A1.14.  Atuar de maneira a mostrar desrespeito ao jogo - Por atuar de maneira a mostrar desrespeito ao jogo ao segurar seu adversário acintosamente.,outro,
13,2022,B,2,Bahia,bahia,Amarelo,Julio Cesar de Rezende Miranda,julio_cesar_de_rezende_miranda,5,19,0,64,2T,"A1.24.  Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser\ antidesportiva ao confrontar seu adversário com a bola fora de jogo.",conduta_antidesportiva,
